reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,10.1111/jofi.12021,2013-05-20,Value And Momentum Everywhere,https://w3id.org/oc/meta/id/062501212638,https://w3id.org/oc/meta/ar/062505151935,https://w3id.org/oc/meta/re/06250945586,https://w3id.org/oc/meta/br/062501161950,http://purl.org/spar/fabio/JournalArticle,Value and momentum everywhere,Value And Momentum Everywhere,70,10.1111/jofi.12021,https://w3id.org/oc/meta/br/062501162212,year_volume_page
b2,10.1146/annurev-financial-102710-144913,2011-12-01,Carry Trade And Momentum In Currency Markets,https://w3id.org/oc/meta/id/06790736484,https://w3id.org/oc/meta/ar/061605369253,https://w3id.org/oc/meta/re/061601029974,https://w3id.org/oc/meta/br/061601262648,http://purl.org/spar/fabio/JournalArticle,Carry trade and momentum in currency markets,Carry Trade And Momentum In Currency Markets,70,10.1146/annurev-financial-102710-144913,https://w3id.org/oc/meta/br/061601261670,year_volume_page
b3,10.1016/j.jbankfin.2004.06.028,2005-06,Stock Market Returns: A Note On Temperature Anomaly,https://w3id.org/oc/meta/id/06290956487,https://w3id.org/oc/meta/ar/0626011954773,https://w3id.org/oc/meta/re/062602206406,https://w3id.org/oc/meta/br/062602856351,http://purl.org/spar/fabio/JournalArticle,Stock market returns: A note on temperature anomaly,Stock Market Returns: A Note On Temperature Anomaly,70,10.1016/j.jbankfin.2004.06.028,https://w3id.org/oc/meta/br/062602856057,year_volume_page
b4,10.1016/j.jbankfin.2007.12.007,2008-09,Weather And Intraday Patterns In Stock Returns And Trading Activity,https://w3id.org/oc/meta/id/06370751922,https://w3id.org/oc/meta/ar/0626011952618,https://w3id.org/oc/meta/re/062602205736,https://w3id.org/oc/meta/br/062602856301,http://purl.org/spar/fabio/JournalArticle,Weather and intraday patterns in stock returns and trading activity,Weather And Intraday Patterns In Stock Returns And Trading Activity,70,10.1016/j.jbankfin.2007.12.007,https://w3id.org/oc/meta/br/062602855387,year_author_page
b7,10.1037/0022-3514.37.11.1947,1979-11,"Weather, Mood, And Helping Behavior: Quasi Experiments With The Sunshine Samaritan.",https://w3id.org/oc/meta/id/0633037022,https://w3id.org/oc/meta/ar/06330168184,https://w3id.org/oc/meta/re/0633033092,https://w3id.org/oc/meta/br/0611018109,http://purl.org/spar/fabio/JournalArticle,"Weather, mood, and helping behavior: Quasi experiments with the sunshine Samaritan","Weather, Mood, And Helping Behavior: Quasi Experiments With The Sunshine Samaritan.",70,10.1037/0022-3514.37.11.1947,https://w3id.org/oc/meta/br/0633037434,year_volume_page
b8,10.1111/0022-1082.00077,1998-12,Investor Psychology And Security Market Under- And Overreactions,https://w3id.org/oc/meta/id/06401227897,https://w3id.org/oc/meta/ar/06405121414,https://w3id.org/oc/meta/re/0640946302,https://w3id.org/oc/meta/br/0616030522,http://purl.org/spar/fabio/JournalArticle,Investor psychology and security market under-and overreactions,Investor Psychology And Security Market Under- And Overreactions,70,10.1111/0022-1082.00077,https://w3id.org/oc/meta/br/06401186732,year_volume_page
b9,10.1016/j.irfa.2004.10.003,2005-01,"Weather, Biorhythms, Beliefs And Stock returns—Some Preliminary Irish Evidence",https://w3id.org/oc/meta/id/06970464741,https://w3id.org/oc/meta/ar/0614013037285,https://w3id.org/oc/meta/re/061402366548,https://w3id.org/oc/meta/br/062062287,http://purl.org/spar/fabio/JournalArticle,"Weather, biorhythms, beliefs and stock returns-Some preliminary Irish evidence","Weather, Biorhythms, Beliefs And Stock returns—Some Preliminary Irish Evidence",70,10.1016/j.irfa.2004.10.003,https://w3id.org/oc/meta/br/061403099868,year_volume_page
b10,10.1016/j.mulfin.2007.06.002,2008-04,Robust Global Mood Influences In Equity Pricing,https://w3id.org/oc/meta/id/0664078131,https://w3id.org/oc/meta/ar/0616012112477,https://w3id.org/oc/meta/re/061602236710,https://w3id.org/oc/meta/br/061602863367,http://purl.org/spar/fabio/JournalArticle,Robust global mood influences in equity pricing,Robust Global Mood Influences In Equity Pricing,70,10.1016/j.mulfin.2007.06.002,https://w3id.org/oc/meta/br/061602863047,year_volume_page
b11,10.1111/1540-6261.00556,2003-05-06,Good Day Sunshine: Stock Returns And The Weather,https://w3id.org/oc/meta/id/06560929021,https://w3id.org/oc/meta/ar/06405121088,https://w3id.org/oc/meta/re/0640946199,https://w3id.org/oc/meta/br/0616030527,http://purl.org/spar/fabio/JournalArticle,Good Day Sunshine: Stock Returns and the Weather,Good Day Sunshine: Stock Returns And The Weather,70,10.1111/1540-6261.00556,https://w3id.org/oc/meta/br/06401186629,year_volume_page
b12,10.1111/j.2044-8295.1984.tb02785.x,1984-02,A Multidimensional Approach To The Relationship Between Mood And Weather,https://w3id.org/oc/meta/id/06660197049,https://w3id.org/oc/meta/ar/061102140116,https://w3id.org/oc/meta/re/06110378372,https://w3id.org/oc/meta/br/069014227,http://purl.org/spar/fabio/JournalArticle,A multidimensional approach to the relationship between mood and weather,A Multidimensional Approach To The Relationship Between Mood And Weather,70,10.1111/j.2044-8295.1984.tb02785.x,https://w3id.org/oc/meta/br/06110535620,year_volume_page
b13,10.1207/s15327663jcp1102_01,2001-01,An Influence Of Positive Affect On Decision Making In Complex Situations: Theoretical Issues With Practical Implications,https://w3id.org/oc/meta/id/06570426820,https://w3id.org/oc/meta/ar/0611012908761,https://w3id.org/oc/meta/re/061102373584,https://w3id.org/oc/meta/br/061103130317,http://purl.org/spar/fabio/JournalArticle,An influence of positive affect on decision making in complex situations: Theoretical issues with practical implications,An Influence Of Positive Affect On Decision Making In Complex Situations: Theoretical Issues With Practical Implications,70,10.1207/s15327663jcp1102_01,https://w3id.org/oc/meta/br/061103129157,year_volume_page
b15,10.1016/j.jbankfin.2007.08.004,2008-04,Is It The Weather?,https://w3id.org/oc/meta/id/06370752290,https://w3id.org/oc/meta/ar/0626011952857,https://w3id.org/oc/meta/re/062602205809,https://w3id.org/oc/meta/br/062602856305,http://purl.org/spar/fabio/JournalArticle,Is it the weather?,Is It The Weather?,70,10.1016/j.jbankfin.2007.08.004,https://w3id.org/oc/meta/br/062602855460,year_volume_page
b16,10.1111/j.1467-629x.2004.00135.x,2005-11,Influence Of Weather On New Zealand Financial Securities,https://w3id.org/oc/meta/id/06730643069,https://w3id.org/oc/meta/ar/06207847387,https://w3id.org/oc/meta/re/06201453411,https://w3id.org/oc/meta/br/06201758367,http://purl.org/spar/fabio/JournalArticle,Influence of weather on New Zealand financial securities. Accounting and Finance,Influence Of Weather On New Zealand Financial Securities,70,10.1111/j.1467-629x.2004.00135.x,https://w3id.org/oc/meta/br/06201757686,year_volume_page
b17,10.1016/0304-405x(83)90025-9,1983-06,Size-related Anomalies And Stock Return Seasonality,https://w3id.org/oc/meta/id/06530729637,https://w3id.org/oc/meta/ar/06403408287,https://w3id.org/oc/meta/re/0640609405,https://w3id.org/oc/meta/br/0640803592,http://purl.org/spar/fabio/JournalArticle,Size related anomalies and stock return seasonality: Further evidence,Size-related Anomalies And Stock Return Seasonality,70,10.1016/0304-405x(83)90025-9,https://w3id.org/oc/meta/br/0640802929,year_volume_page
b18,10.1017/s0022109000003100,2004-06,"Weather, Stock Returns, And The Impact Of Localized Trading Behavior",https://w3id.org/oc/meta/id/06601227411,https://w3id.org/oc/meta/ar/06605083742,https://w3id.org/oc/meta/re/0660947373,https://w3id.org/oc/meta/br/06601181431,http://purl.org/spar/fabio/JournalArticle,"Weather, stock returns, and the impact of localized trading behavior","Weather, Stock Returns, And The Impact Of Localized Trading Behavior",70,10.1017/s0022109000003100,https://w3id.org/oc/meta/br/06601180501,year_volume_page
b19,10.1257/aer.97.1.89,2007-02-01,The Cross Section Of Foreign Currency Risk Premia And Consumption Growth Risk,https://w3id.org/oc/meta/id/06810747689,https://w3id.org/oc/meta/ar/061805078904,https://w3id.org/oc/meta/re/06180967518,https://w3id.org/oc/meta/br/068030351,http://purl.org/spar/fabio/JournalArticle,The cross section of foreign currency risk premia and consumption growth risk,The Cross Section Of Foreign Currency Risk Premia And Consumption Growth Risk,70,10.1257/aer.97.1.89,https://w3id.org/oc/meta/br/061801196651,year_volume_page
b20,10.1093/rfs/hhr068,2011-08-30,Common Risk Factors In Currency Markets,https://w3id.org/oc/meta/id/06480640005,https://w3id.org/oc/meta/ar/061604340275,https://w3id.org/oc/meta/re/06160810766,https://w3id.org/oc/meta/br/061601022419,http://purl.org/spar/fabio/JournalArticle,Common risk factors in currency markets,Common Risk Factors In Currency Markets,70,10.1093/rfs/hhr068,https://w3id.org/oc/meta/br/061601021599,year_volume_page
b22,10.1016/j.jfineco.2012.06.009,2012-12,Currency Momentum Strategies,https://w3id.org/oc/meta/id/062505635602,https://w3id.org/oc/meta/ar/06603360370,https://w3id.org/oc/meta/re/0660619253,https://w3id.org/oc/meta/br/0660807125,http://purl.org/spar/fabio/JournalArticle,Currency momentum strategies,Currency Momentum Strategies,70,10.1016/j.jfineco.2012.06.009,https://w3id.org/oc/meta/br/0660806334,year_volume_page
b23,10.1093/rfs/hhw067,2016-08-09,Currency Value,https://w3id.org/oc/meta/id/061501064616,https://w3id.org/oc/meta/ar/061504383361,https://w3id.org/oc/meta/re/06150813938,https://w3id.org/oc/meta/br/061501022704,http://purl.org/spar/fabio/JournalArticle,Currency value,Currency Value,70,10.1093/rfs/hhw067,https://w3id.org/oc/meta/br/061501022293,year_volume_page
b24,10.1080/00140130210158419,2002-08,Effects Of Hot And Cold Temperature Exposure On Performance: A Meta-Analytic Review,https://w3id.org/oc/meta/id/06403793517,https://w3id.org/oc/meta/ar/061606025313,https://w3id.org/oc/meta/re/061601157778,https://w3id.org/oc/meta/br/06404063496,http://purl.org/spar/fabio/JournalArticle,Effects of hot and cold temperature exposure on performance: A meta-analytic review,Effects Of Hot And Cold Temperature Exposure On Performance: A Meta-Analytic Review,70,10.1080/00140130210158419,https://w3id.org/oc/meta/br/061601408173,year_volume_page
